name,year,author,word1,freq1,word2,freq2,word3,freq3
Suspendisse potenti.,2011,Bryn Kemish,nec,29,primis,43,pellentesque,74
Etiam pretium iaculis justo.,1994,Belvia Mateescu,in,12,volutpat,53,quis,90
"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2000,Temple Ranns,non,56,adipiscing,67,eu,10
Aenean sit amet justo.,1996,Dreddy Eyden,massa,23,lectus,67,tincidunt,90
Duis ac nibh.,2012,Yancey Wallwood,posuere,42,tortor,89,pulvinar,74
In congue.,2008,Annaliese Gouinlock,habitasse,42,vestibulum,65,nunc,84
Integer ac neque.,2012,May Treend,erat,12,sit,65,at,10
Proin at turpis a pede posuere nonummy.,2012,Adrea Purches,iaculis,76,phasellus,59,habitasse,92
Aliquam non mauris.,2007,Waiter Swales,quisque,53,justo,89,libero,10
Proin risus.,2001,Conrade Jozsef,mauris,29,diam,120,nulla,84
Morbi quis tortor id nulla ultrices aliquet.,1997,Mireille Khristoforov,elementum,98,morbi,59,a,92
In congue.,1996,Darren Treacher,tincidunt,12,eu,120,luctus,19
Duis bibendum.,2010,Chan Krahl,tincidunt,23,ligula,19,sodales,92
Nullam sit amet turpis elementum ligula vehicula consequat.,1996,Raine Lesek,in,93,felis,120,integer,89
Duis aliquam convallis nunc.,2007,Chauncey Beves,eros,53,lectus,19,duis,89
Suspendisse ornare consequat lectus.,2013,Cati Gounet,nulla,84,justo,43,donec,84
Cras non velit nec nisi vulputate nonummy.,1999,Ruthanne Muehle,accumsan,56,lorem,53,pretium,19
"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",2005,Zita Alberts,faucibus,23,nunc,89,aliquam,92
Pellentesque eget nunc.,1996,Fanechka Lacy,libero,98,nam,53,lorem,92
Suspendisse potenti.,2007,Borden Missington,vestibulum,98,penatibus,73,maecenas,18
Nunc nisl.,1999,Susana Jone,habitasse,56,lacinia,73,accumsan,84
Nunc nisl.,1997,Jaquelyn Pickthorne,lacinia,29,justo,67,elit,92
Integer tincidunt ante vel ipsum.,1998,Rosabel Rings,pretium,93,mi,67,ut,80
In quis justo.,1992,Gail Venn,bibendum,29,platea,19,elementum,10
Donec dapibus.,2000,Gunner Bariball,scelerisque,76,purus,43,morbi,19
Suspendisse potenti.,1984,Colleen Howis,id,23,ipsum,53,mauris,84
"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2011,Meris Gault,velit,29,massa,73,turpis,89
Nulla tellus.,1993,Nerti Gerb,etiam,42,imperdiet,59,pede,19
In congue.,2012,Goddart Tettley,sem,12,sit,67,pede,129
Morbi ut odio.,2006,Rodolphe Bramont,aenean,53,faucibus,53,nisi,90
Mauris sit amet eros.,2007,Say Dossetter,nisl,84,donec,73,sapien,19
Nulla ac enim.,1994,Skelly Eldin,volutpat,56,sit,59,nisl,92
Etiam vel augue.,2006,Tamera Clint,nullam,12,elementum,43,sed,10
Nulla nisl.,1986,Candice M'Quharg,convallis,23,a,43,sed,90
"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1994,Tyrone Wincer,quam,56,magnis,65,et,10
Sed sagittis.,2000,Easter Seaman,ipsum,23,cubilia,67,amet,10
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1990,Edith Maylour,massa,42,in,65,sed,80
Curabitur in libero ut massa volutpat convallis.,1993,Cherice Bjerkan,aliquet,42,in,89,turpis,129
Suspendisse accumsan tortor quis turpis.,1992,Rollins De La Coste,sit,84,at,67,imperdiet,74
Aenean sit amet justo.,2001,Eran Deniso,aliquet,76,tortor,59,vulputate,89
Pellentesque viverra pede ac diam.,1994,Ainslee Heggie,ante,76,vestibulum,73,non,10
Proin risus.,1998,Jasun Awdry,fermentum,29,pellentesque,73,lacinia,18
Praesent lectus.,2002,Niccolo Dismore,ornare,23,id,53,nulla,89
Vivamus vestibulum sagittis sapien.,1992,Lorine Gilman,cubilia,84,quis,120,porta,19
Mauris lacinia sapien quis libero.,2007,Adorne Gayler,quam,29,ac,67,duis,74
Nulla mollis molestie lorem.,1997,Dale Drohun,varius,12,amet,53,penatibus,84
"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2007,Cortney Baudic,maecenas,76,integer,67,rutrum,10
Etiam justo.,1999,Shirlee Jensen,in,42,cubilia,89,in,92
Cras pellentesque volutpat dui.,2008,Thoma Rainey,ut,23,felis,59,fusce,10
Proin at turpis a pede posuere nonummy.,1996,Munroe Twigge,pretium,23,purus,67,nulla,10
Nulla facilisi.,2012,Sarge Weond,justo,23,donec,89,viverra,10
"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1967,Essie Filipputti,rutrum,29,et,53,praesent,10
Aliquam non mauris.,2001,Geno Brounsell,volutpat,23,pretium,67,ullamcorper,80
"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1989,Renate Idel,erat,56,ac,43,ac,80
Integer tincidunt ante vel ipsum.,2006,Onofredo Raddin,in,84,aliquet,67,eget,74
Aenean sit amet justo.,2003,Pauli Maharry,lectus,84,ultrices,65,tincidunt,89
Vivamus tortor.,1991,Fidole Vernazza,congue,53,dapibus,67,id,129
Mauris ullamcorper purus sit amet nulla.,2012,Inger Olwen,ut,42,proin,43,suscipit,19
Etiam faucibus cursus urna.,1998,Mathilde Dimmick,convallis,23,ut,73,felis,89
Cras non velit nec nisi vulputate nonummy.,2008,Base Joll,ipsum,12,lorem,19,luctus,10
Fusce posuere felis sed lacus.,1964,Lockwood Gimenez,ultrices,98,dapibus,43,eget,90
In hac habitasse platea dictumst.,2008,Law Cookes,sed,53,nulla,67,sociis,18
Vivamus vel nulla eget eros elementum pellentesque.,2000,Dorene Varnals,tellus,53,pellentesque,65,auctor,10
Donec dapibus.,2005,Edithe Goodhew,ut,29,justo,73,vestibulum,19
"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2010,Eb Bowers,viverra,53,tortor,19,in,90
Duis bibendum.,2006,Chrissie Fewlass,dolor,53,vivamus,67,metus,89
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,2008,Tamarah Leversha,neque,56,risus,59,sapien,89
Nunc nisl.,1987,Domingo Levine,ac,23,consequat,120,vel,74
Donec dapibus.,2008,Lydon Robins,dictumst,53,pellentesque,67,etiam,80
Morbi porttitor lorem id ligula.,2004,Lavinia Elsey,lacinia,93,aenean,73,pellentesque,89
"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1997,Gerladina Bayford,primis,12,pede,89,et,10
Nulla tempus.,1970,Ginny Ferras,varius,29,in,120,viverra,89
Praesent blandit lacinia erat.,2001,Cathleen Khan,sit,98,porttitor,120,neque,84
Morbi non quam nec dui luctus rutrum.,2004,Wald Swayton,nulla,23,mi,65,elit,129
Maecenas ut massa quis augue luctus tincidunt.,2009,Weider Stirley,luctus,84,aliquam,19,odio,18
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2007,Lorry Tomik,lectus,42,hac,59,justo,10
Quisque porta volutpat erat.,2012,Brigit Ternault,ut,42,justo,73,suspendisse,19
Nunc rhoncus dui vel sem.,1992,Rinaldo Monro,fusce,98,nam,120,vestibulum,89
Curabitur convallis.,2002,Lyell Stoggles,in,93,est,120,mus,84
Suspendisse accumsan tortor quis turpis.,2006,Legra Rodgers,nulla,23,turpis,43,varius,129
"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1992,Lorenzo Trye,adipiscing,56,justo,59,faucibus,84
Ut tellus.,2008,Desirae Rebeiro,vel,53,natoque,65,non,92
Aenean sit amet justo.,2005,Monah Duckwith,at,84,a,67,in,90
"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",1987,Natale Faulconbridge,nibh,42,ut,43,in,80
Mauris ullamcorper purus sit amet nulla.,2004,Gayle Manzell,amet,84,gravida,43,id,89
Proin at turpis a pede posuere nonummy.,2009,Tabbie Wallage,ut,84,ipsum,43,nisl,80
Integer non velit.,1986,Greer Cordingley,at,53,ligula,65,amet,89
Suspendisse potenti.,2008,Roxanna Sponton,elementum,42,felis,120,faucibus,10
"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",2011,Hedda Meriot,mi,29,montes,89,vel,80
"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2001,Gael Hansod,quis,84,sem,67,commodo,90
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2007,Sullivan Maghull,sagittis,29,amet,67,magna,18
Vivamus vestibulum sagittis sapien.,2002,Jyoti Boyce,erat,93,magna,67,erat,74
Quisque porta volutpat erat.,2009,Rollie Palay,nascetur,29,cubilia,73,lectus,74
Ut tellus.,1965,Vin Pegram,quis,42,adipiscing,73,ac,90
Pellentesque eget nunc.,2000,Gilda Gyver,nonummy,56,sem,73,volutpat,10
Suspendisse potenti.,2006,Wallas Howship,nullam,56,nec,89,facilisi,92
Donec ut dolor.,1988,Gayle Joannic,rhoncus,12,faucibus,65,vestibulum,129
Fusce posuere felis sed lacus.,1996,Mahmoud Culbard,phasellus,42,viverra,67,vulputate,90
In hac habitasse platea dictumst.,2010,Raina Roy,purus,12,porttitor,59,mauris,129
Duis aliquam convallis nunc.,2009,Addi Lukianovich,sed,84,risus,73,morbi,84
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",2012,Sophronia Raffels,ac,98,in,43,ac,90
Ut at dolor quis odio consequat varius.,1988,Ros Alf,vitae,84,convallis,120,orci,89
Phasellus id sapien in sapien iaculis congue.,1995,Reese Croisdall,ut,76,ut,59,tempus,92
Morbi non lectus.,2000,Toma Gobell,porttitor,98,ligula,89,id,89
Duis aliquam convallis nunc.,2008,Roxanna Hourihan,suspendisse,12,etiam,67,libero,80
Suspendisse potenti.,1989,Kania Witherop,amet,56,blandit,43,integer,10
Duis aliquam convallis nunc.,1999,Vladamir McElhargy,ridiculus,93,lorem,53,sed,19
Nullam sit amet turpis elementum ligula vehicula consequat.,2003,Gwennie Wudeland,aliquet,76,ut,65,lacus,74
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2005,Haily McCuis,tempor,12,enim,53,ut,129
Vestibulum sed magna at nunc commodo placerat.,2001,Ron Lippini,justo,56,arcu,89,vulputate,80
Aenean auctor gravida sem.,2013,Claudia Currao,dignissim,76,posuere,53,accumsan,84
Morbi non quam nec dui luctus rutrum.,2008,Darcy Paley,sapien,53,lorem,67,sapien,129
In quis justo.,1999,Noell Syddall,praesent,98,cursus,53,venenatis,89
Nunc rhoncus dui vel sem.,2009,Carol Braine,viverra,12,ultrices,89,etiam,10
In hac habitasse platea dictumst.,2005,Juli Darlasson,turpis,12,vel,59,nunc,80
Ut tellus.,1969,Daven Chambers,justo,53,molestie,53,sit,90
Duis at velit eu est congue elementum.,2006,Rheba McAvaddy,condimentum,84,vel,43,eget,19
Donec posuere metus vitae ipsum.,2012,Emanuele Rupp,justo,42,ipsum,53,dis,89
Integer ac leo.,2007,Emylee Mawson,consectetuer,12,pede,73,turpis,18
In congue.,1995,Em Bramelt,neque,98,aliquam,59,tempus,10
In congue.,1993,Auria Carse,pretium,42,non,67,curae,84
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2000,Christabella Zorn,diam,53,curae,53,lobortis,18
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1989,Weber Migheli,dapibus,12,sed,67,leo,10
Vivamus vel nulla eget eros elementum pellentesque.,1997,Cherie Zimek,quisque,76,quam,65,viverra,80
Proin eu mi.,1996,Boonie Juster,morbi,93,orci,120,lectus,92
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1997,Laverne Donohoe,ipsum,98,phasellus,89,potenti,92
In sagittis dui vel nisl.,1968,Kissie Spawforth,mattis,93,id,43,a,80
Nam nulla.,1967,Cathleen Guidotti,donec,12,congue,67,sed,74
Vivamus vel nulla eget eros elementum pellentesque.,2009,Willem Doche,ultrices,23,cubilia,120,in,80
Praesent id massa id nisl venenatis lacinia.,2006,Clayton Leagas,quam,42,nunc,53,lobortis,92
Pellentesque at nulla.,2007,Yettie Bortoletti,morbi,76,turpis,67,sapien,74
Vivamus tortor.,1988,Larry Congreave,nec,23,adipiscing,19,sed,129
Duis at velit eu est congue elementum.,2004,Kaleb Wharmby,amet,29,at,67,tellus,10
Maecenas tincidunt lacus at velit.,2006,Nickola Lorrie,aliquam,84,elementum,89,sapien,80
Cras pellentesque volutpat dui.,2012,Isa Abelovitz,lorem,23,nascetur,73,quis,10
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2006,Winnah Lowres,nec,98,amet,89,nec,89
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1985,Deanna Janning,fusce,84,velit,19,orci,74
Integer a nibh.,2002,Alanson Steele,dui,42,donec,59,quis,18
"In est risus, auctor sed, tristique in, tempus sit amet, sem.",1989,Avictor Connue,cubilia,56,semper,67,et,80
Nulla mollis molestie lorem.,2001,Daron Telling,ut,29,morbi,19,duis,80
Etiam vel augue.,2002,Velvet Zukerman,felis,29,mi,67,nec,84
"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1996,Andie Beccera,condimentum,29,nisl,73,volutpat,10
Proin eu mi.,1998,Arron Bjerkan,dolor,84,mattis,43,ut,19
Morbi porttitor lorem id ligula.,1991,Gabe Tuft,integer,84,penatibus,43,rhoncus,89
Nullam porttitor lacus at turpis.,2009,Wiatt Linklater,dui,76,sit,59,in,80
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,1990,Erna Pattingson,ipsum,93,ultrices,65,magna,90
In hac habitasse platea dictumst.,2002,Karita Cankett,eu,23,quam,53,cubilia,129
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1999,Gordon Hiner,venenatis,98,donec,59,mi,10
Nunc purus.,2007,Blinny Jacobowicz,interdum,76,erat,53,dictumst,19
Nulla tempus.,1999,Antonina Stapford,amet,53,volutpat,67,risus,92
Suspendisse potenti.,2002,Antonietta Tatem,curabitur,42,ut,120,cursus,84
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2012,Elyssa Reisin,nulla,42,cubilia,73,eros,92
Donec quis orci eget orci vehicula condimentum.,1994,Melania Mayler,lorem,93,leo,53,nunc,74
Curabitur in libero ut massa volutpat convallis.,1961,Costa Saxon,sit,23,magnis,65,quam,74
Nunc nisl.,2007,Merill Drewitt,vivamus,23,ligula,53,integer,84
Duis aliquam convallis nunc.,1994,Tate Reinhard,nulla,56,turpis,67,quam,89
Aenean auctor gravida sem.,1999,Ted Filpo,ultrices,53,pede,19,enim,129
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,1986,Tirrell Gillebride,quis,29,mi,120,amet,90
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,1999,Addison Rowbotham,dui,76,at,43,tempus,129
Sed vel enim sit amet nunc viverra dapibus.,1993,Christy Billham,felis,53,dictumst,53,ac,89
Fusce posuere felis sed lacus.,2004,Robers Elders,amet,42,erat,120,eu,18
"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1994,Cristi Gurys,ipsum,42,adipiscing,43,amet,80
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2008,Cristionna Schiell,nulla,84,amet,65,eleifend,10
Maecenas pulvinar lobortis est.,2001,Tobe Hayler,vulputate,12,cras,67,rhoncus,84
Nulla ac enim.,2007,Jolie Mardle,eu,84,augue,120,sed,129
Duis mattis egestas metus.,2008,Rafaelita Skokoe,odio,93,interdum,73,praesent,89
Nunc purus.,2003,Giacomo Courtier,consequat,12,volutpat,73,lacus,129
Integer tincidunt ante vel ipsum.,1999,Donetta Callington,donec,23,ligula,19,aliquam,10
Etiam vel augue.,2004,Roderick Poyner,pretium,29,adipiscing,89,tortor,129
Nunc purus.,2002,Tessi Anyon,felis,56,non,65,pede,129
Donec ut mauris eget massa tempor convallis.,2008,Pavel Pointing,ligula,76,vivamus,120,at,19
Nulla ac enim.,1987,Fay Salery,sit,56,vestibulum,53,est,90
Phasellus in felis.,1964,Weber Gravey,metus,42,aliquet,120,ut,80
Pellentesque viverra pede ac diam.,2008,Goldina Knowles,augue,12,nam,59,velit,89
"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1993,Damian Waszkiewicz,et,93,sit,67,fusce,10
Etiam justo.,2000,Aleece Antwis,vestibulum,56,ut,67,mi,84
Ut tellus.,2007,Dody Guerreru,fermentum,23,proin,67,nullam,80
Curabitur convallis.,1998,Salomon Bulcock,id,42,proin,73,dictumst,18
Pellentesque ultrices mattis odio.,1993,Bonny Garroway,sapien,42,ante,53,orci,89
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1967,Robinetta Justham,condimentum,76,tincidunt,65,rutrum,19
Nulla tempus.,2001,Blithe Nudde,orci,98,non,59,lectus,10
Nunc purus.,1985,Regan Furniss,lectus,29,curae,73,donec,19
Curabitur gravida nisi at nibh.,2005,Bradley De Coursey,ultrices,84,dui,19,amet,18
Vivamus tortor.,2011,Lenka Mendel,in,93,pede,120,iaculis,18
Aliquam non mauris.,2002,Bernelle Trudgeon,cubilia,23,vulputate,67,vitae,19
Donec posuere metus vitae ipsum.,2001,Giulia Tolwood,nulla,12,parturient,120,adipiscing,90
Vestibulum sed magna at nunc commodo placerat.,2002,Grace Grindlay,in,29,praesent,67,erat,10
Morbi non quam nec dui luctus rutrum.,1998,Arni Lyddon,etiam,84,pellentesque,65,nisi,19
"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1999,Arleen Prandin,eu,93,ullamcorper,73,ligula,80
Ut tellus.,1992,Ephraim Drayn,primis,56,a,89,libero,18
Nulla ut erat id mauris vulputate elementum.,1995,Sergei Purkiss,tincidunt,76,sem,73,eros,18
Vivamus tortor.,1992,Gherardo Heckney,nulla,93,vestibulum,65,risus,92
Suspendisse accumsan tortor quis turpis.,2009,Aila Buston,sit,84,sapien,59,amet,89
"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1996,Aveline Desesquelle,vitae,42,eu,73,porttitor,18
Aliquam erat volutpat.,2000,Marietta Childes,turpis,29,in,65,sed,80
Proin at turpis a pede posuere nonummy.,1995,Winn Albarez,vitae,23,sed,73,massa,89
Maecenas ut massa quis augue luctus tincidunt.,1991,Marty Jorgensen,consequat,12,congue,43,vel,92
Integer non velit.,1990,Fifine Trenouth,ridiculus,84,sollicitudin,73,consequat,19
Quisque id justo sit amet sapien dignissim vestibulum.,2011,Mechelle Kinsell,rhoncus,93,dis,67,lacus,89
"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",2007,Arden Dunhill,eleifend,42,eros,120,quam,18
Duis bibendum.,2011,Pooh Wellings,quisque,29,blandit,120,eget,74
Nullam sit amet turpis elementum ligula vehicula consequat.,1995,Sibyl Hunston,faucibus,53,malesuada,53,pede,89
Quisque id justo sit amet sapien dignissim vestibulum.,1984,Bourke McCalum,pellentesque,29,penatibus,67,vel,19
Nunc nisl.,2005,Saundra Davys,commodo,42,metus,67,vehicula,10
In blandit ultrices enim.,2002,Ami Swyer,vulputate,53,adipiscing,67,massa,18
Morbi vel lectus in quam fringilla rhoncus.,1977,Constancia Hastler,in,76,sapien,65,fermentum,10
Phasellus sit amet erat.,1996,Aldous Crossdale,in,84,vel,19,odio,10
In sagittis dui vel nisl.,2004,Mackenzie Bruckman,a,84,mauris,73,pede,92
Aliquam erat volutpat.,1991,Hunfredo Digan,primis,42,nec,120,cras,18
Pellentesque eget nunc.,2003,Shela Shillabeer,eu,93,bibendum,53,ultrices,89
Nulla suscipit ligula in lacus.,1996,Zolly Tufts,ut,56,luctus,67,suspendisse,84
Nulla tellus.,2011,Debra Terzi,scelerisque,53,leo,19,interdum,92
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1999,Marabel Cronchey,morbi,93,varius,59,gravida,18
Fusce posuere felis sed lacus.,1999,Cort Pay,odio,42,est,73,vel,84
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2009,Ammamaria MacKinnon,eget,93,nisl,59,cubilia,90
Phasellus in felis.,2006,Batholomew McGuinness,rutrum,29,faucibus,73,est,80
Integer ac leo.,2001,Anneliese Oldaker,nunc,84,congue,73,id,90
Etiam vel augue.,2006,Jenine Fleetwood,ac,98,tincidunt,19,turpis,92
"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",1994,Kelley Swendell,eu,76,porttitor,53,massa,80
Nullam porttitor lacus at turpis.,2010,Ashli MacRitchie,felis,42,curae,19,magnis,18
Maecenas pulvinar lobortis est.,2006,Marlin Bleckly,semper,84,lacinia,19,mollis,10
"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1998,Elsy Moulden,turpis,56,dolor,53,elementum,18
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2006,Derry Mowatt,quam,23,hac,19,id,129
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1993,Tod Evill,congue,23,est,67,leo,18
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2005,Cathe Duxbury,at,76,et,53,lorem,89
"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1992,Amargo Paoletti,nisi,76,turpis,67,elementum,129
Pellentesque at nulla.,1997,Bonita Chaffey,ut,12,tristique,120,convallis,92
Integer ac neque.,2010,Aryn Cohane,tortor,53,volutpat,65,tempus,90
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1994,Julie Ruprechter,luctus,84,nascetur,59,pellentesque,80
In congue.,2011,Aubry Vauter,nulla,23,dapibus,67,libero,80
Praesent lectus.,1993,Geraldine Sarfas,sit,84,morbi,65,porttitor,84
Duis ac nibh.,1994,Myrvyn Gwillym,mauris,76,ac,19,eget,89
"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1996,Inga Domico,ornare,76,eget,120,ac,74
Nulla tellus.,2005,Franciskus Fish,mi,53,nunc,120,vitae,90
Aliquam sit amet diam in magna bibendum imperdiet.,1993,Kaycee Lenox,platea,84,sapien,67,vel,84
"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",2006,Merl Northrop,ultricies,84,est,43,felis,84
Proin eu mi.,2007,Balduin Grimmolby,nec,76,consectetuer,65,ultrices,129
Curabitur convallis.,1994,Dougie Siviter,libero,76,turpis,89,eleifend,89
Duis aliquam convallis nunc.,1991,Pat Mansford,dui,76,nibh,73,sed,19
Aenean lectus.,2011,Jereme Franscioni,luctus,76,nisl,89,rhoncus,10
Aenean fermentum.,2005,Saleem Feldmark,amet,76,vestibulum,43,lectus,90
Phasellus in felis.,1992,Camila Arnopp,nisi,84,interdum,43,at,18
"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2007,Huberto Muffin,pede,42,ut,59,ut,129
Nullam sit amet turpis elementum ligula vehicula consequat.,1994,Graham Clubb,lobortis,23,odio,19,eu,10
Suspendisse ornare consequat lectus.,2013,Fern Care,duis,42,mattis,19,nibh,92
Integer non velit.,2006,Reinaldo Suttle,mus,84,elit,67,duis,19
Vestibulum ac est lacinia nisi venenatis tristique.,2005,Osmond Gilhoolie,pellentesque,93,nec,19,turpis,10
Cras in purus eu magna vulputate luctus.,2006,Morgun Lamonby,iaculis,56,nascetur,43,morbi,84
Donec dapibus.,2006,Ethel Flawn,quis,98,praesent,43,venenatis,92
Pellentesque at nulla.,2003,Keane Falvey,tellus,56,eget,67,dis,89
Curabitur convallis.,2005,Justis De Mattei,lorem,23,sapien,120,ligula,129
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",2010,Madge Leyfield,pede,12,est,67,leo,92
Etiam vel augue.,2006,Marika Giffaut,hac,98,eget,53,sollicitudin,84
"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1995,Kerianne Bowsher,eget,76,congue,67,sit,10
